job_id,company_id,location,designation,details_id
070923501018,19589,Kolkata,Associate - Inventory Accounting,0
070923501018,19589,Mumbai,Associate - Inventory Accounting,0
070923501018,19589,New Delhi,Associate - Inventory Accounting,0
070923501018,19589,Hyderabad,Associate - Inventory Accounting,0
070923501018,19589,Pune,Associate - Inventory Accounting,0
070923501018,19589,Chennai,Associate - Inventory Accounting,0
070923501018,19589,Bangalore,Associate - Inventory Accounting,0
270523906122,7682,Kolkata,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,West Bengal,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Mumbai,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Maharashtra,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Hyderabad,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Telangana,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Pune,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Gurgaon,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Chennai,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Tamil Nadu,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Bangalore,CN - Comms & Media - Network Assurance - Senior Manager,1
270523906122,7682,Delhi,CN - Comms & Media - Network Assurance - Senior Manager,1
230920500882,4571516,Kolkata,Software Developer/Trainer,2
230920500882,4571516,Mumbai,Software Developer/Trainer,2
230920500882,4571516,New Delhi,Software Developer/Trainer,2
230920500882,4571516,Hyderabad,Software Developer/Trainer,2
230920500882,4571516,Pune,Software Developer/Trainer,2
230920500882,4571516,Chennai,Software Developer/Trainer,2
230920500882,4571516,Bangalore,Software Developer/Trainer,2
210123500752,1295512,Kolkata,Intern,3
210123500752,1295512,Mumbai,Intern,3
210123500752,1295512,New Delhi,Intern,3
210123500752,1295512,Hyderabad,Intern,3
210123500752,1295512,Pune,Intern,3
210123500752,1295512,Chennai,Intern,3
210123500752,1295512,Bangalore,Intern,3
180722500200,1295512,Kolkata,MALE INTERN - ERODE REGION,4
180722500200,1295512,Mumbai,MALE INTERN - ERODE REGION,4
180722500200,1295512,New Delhi,MALE INTERN - ERODE REGION,4
180722500200,1295512,Hyderabad,MALE INTERN - ERODE REGION,4
180722500200,1295512,Pune,MALE INTERN - ERODE REGION,4
180722500200,1295512,Chennai,MALE INTERN - ERODE REGION,4
180722500200,1295512,Bangalore,MALE INTERN - ERODE REGION,4
160523005710,649,Kolkata,Abinitio Developer,5
160523005710,649,Hyderabad,Abinitio Developer,5
160523005710,649,Pune,Abinitio Developer,5
160523005710,649,Chennai,Abinitio Developer,5
160523005710,649,Bangalore,Abinitio Developer,5
160523005710,649,Delhi,Abinitio Developer,5
160523005710,649,Mumbai,Abinitio Developer,5
080923907664,7682,Kolkata,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Mumbai,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Hyderabad,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Pune,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Gurgaon,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Chennai,GN - SONG - MT - Adobe Analytics - Consultant,6
080923907664,7682,Bangalore,GN - SONG - MT - Adobe Analytics - Consultant,6
080923007100,6101,Kolkata,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Hyderabad,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Pune,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Ahmedabad,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Chennai,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Bangalore,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Delhi,Oracle HCM Fusion Functional Consultant,7
080923007100,6101,Mumbai,Oracle HCM Fusion Functional Consultant,7
070923501049,19589,Kolkata,Software Engineer,8
070923501049,19589,Mumbai,Software Engineer,8
070923501049,19589,New Delhi,Software Engineer,8
070923501049,19589,Hyderabad,Software Engineer,8
070923501049,19589,Pune,Software Engineer,8
070923501049,19589,Chennai,Software Engineer,8
070923501049,19589,Bangalore,Software Engineer,8
070923501036,114714,Kolkata,Project Manager-Cards,9
070923501036,114714,Mumbai,Project Manager-Cards,9
070923501036,114714,New Delhi,Project Manager-Cards,9
070923501036,114714,Hyderabad,Project Manager-Cards,9
070923501036,114714,Pune,Project Manager-Cards,9
070923501036,114714,Chennai,Project Manager-Cards,9
070923501036,114714,Bangalore,Project Manager-Cards,9
070923501019,19589,Kolkata,SAP ABAP technical anchor,10
070923501019,19589,Mumbai,SAP ABAP technical anchor,10
070923501019,19589,New Delhi,SAP ABAP technical anchor,10
070923501019,19589,Hyderabad,SAP ABAP technical anchor,10
070923501019,19589,Pune,SAP ABAP technical anchor,10
070923501019,19589,Chennai,SAP ABAP technical anchor,10
070923501019,19589,Bangalore,SAP ABAP technical anchor,10
070923501011,19589,Kolkata,Virtual Commissioning Engineer VME,11
070923501011,19589,Mumbai,Virtual Commissioning Engineer VME,11
070923501011,19589,New Delhi,Virtual Commissioning Engineer VME,11
070923501011,19589,Hyderabad,Virtual Commissioning Engineer VME,11
070923501011,19589,Pune,Virtual Commissioning Engineer VME,11
070923501011,19589,Chennai,Virtual Commissioning Engineer VME,11
070923501011,19589,Bangalore,Virtual Commissioning Engineer VME,11
070923500877,19589,Kolkata,Senior Software Engineer,12
070923500877,19589,Mumbai,Senior Software Engineer,12
070923500877,19589,New Delhi,Senior Software Engineer,12
070923500877,19589,Hyderabad,Senior Software Engineer,12
070923500877,19589,Pune,Senior Software Engineer,12
070923500877,19589,Chennai,Senior Software Engineer,12
070923500877,19589,Bangalore,Senior Software Engineer,12
070923500876,19589,Kolkata,Software Engineer,13
070923500876,19589,Mumbai,Software Engineer,13
070923500876,19589,New Delhi,Software Engineer,13
070923500876,19589,Hyderabad,Software Engineer,13
070923500876,19589,Pune,Software Engineer,13
070923500876,19589,Chennai,Software Engineer,13
070923500876,19589,Bangalore,Software Engineer,13
070923500874,19589,Kolkata,Software Development Engineer - HTHD,14
070923500874,19589,Mumbai,Software Development Engineer - HTHD,14
070923500874,19589,New Delhi,Software Development Engineer - HTHD,14
070923500874,19589,Hyderabad,Software Development Engineer - HTHD,14
070923500874,19589,Pune,Software Development Engineer - HTHD,14
070923500874,19589,Chennai,Software Development Engineer - HTHD,14
070923500874,19589,Bangalore,Software Development Engineer - HTHD,14
070923500025,5247,Kolkata,Sr.Manager Operations Quality,15
070923500025,5247,Mumbai,Sr.Manager Operations Quality,15
070923500025,5247,New Delhi,Sr.Manager Operations Quality,15
070923500025,5247,Hyderabad,Sr.Manager Operations Quality,15
070923500025,5247,Pune,Sr.Manager Operations Quality,15
070923500025,5247,Chennai,Sr.Manager Operations Quality,15
070923500025,5247,Bangalore,Sr.Manager Operations Quality,15
070923500024,5247,Kolkata,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,Mumbai,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,New Delhi,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,Hyderabad,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,Pune,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,Chennai,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500024,5247,Bangalore,Sr. Manager - Procurement - Quality Assurance & Control,16
070923500023,5247,Kolkata,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,Mumbai,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,New Delhi,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,Hyderabad,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,Pune,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,Chennai,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923500023,5247,Bangalore,Senior Manager (L5) - TMLD Zonal Logistics Manager,17
070923009081,1706,Kolkata,Workday Consultant/ Senior Consultant,18
070923009081,1706,West Bengal,Workday Consultant/ Senior Consultant,18
070923009081,1706,Hyderabad,Workday Consultant/ Senior Consultant,18
070923009081,1706,Telangana,Workday Consultant/ Senior Consultant,18
070923009081,1706,Pune,Workday Consultant/ Senior Consultant,18
070923009081,1706,Maharashtra,Workday Consultant/ Senior Consultant,18
070923009081,1706,Gurgaon,Workday Consultant/ Senior Consultant,18
070923009081,1706,Haryana,Workday Consultant/ Senior Consultant,18
070923009081,1706,Chennai,Workday Consultant/ Senior Consultant,18
070923009081,1706,Tamil Nadu,Workday Consultant/ Senior Consultant,18
070923009081,1706,Bangalore,Workday Consultant/ Senior Consultant,18
070923009081,1706,Karnataka,Workday Consultant/ Senior Consultant,18
070923009081,1706,Mumbai,Workday Consultant/ Senior Consultant,18
070923005470,1066,Kolkata,Google Tag Manager_Techmahindra,19
070923005470,1066,Hyderabad,Google Tag Manager_Techmahindra,19
070923005470,1066,Pune,Google Tag Manager_Techmahindra,19
070923005470,1066,Ahmedabad,Google Tag Manager_Techmahindra,19
070923005470,1066,Chennai,Google Tag Manager_Techmahindra,19
070923005470,1066,Bangalore,Google Tag Manager_Techmahindra,19
070923005470,1066,Delhi,Google Tag Manager_Techmahindra,19
070923005470,1066,Mumbai,Google Tag Manager_Techmahindra,19
060923501314,5247,Kolkata,Sr Manager Internal Audit,20
060923501314,5247,Mumbai,Sr Manager Internal Audit,20
060923501314,5247,New Delhi,Sr Manager Internal Audit,20
060923501314,5247,Hyderabad,Sr Manager Internal Audit,20
060923501314,5247,Pune,Sr Manager Internal Audit,20
060923501314,5247,Chennai,Sr Manager Internal Audit,20
060923501314,5247,Bangalore,Sr Manager Internal Audit,20
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Kolkata,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Mumbai,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,New Delhi,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Hyderabad,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Pune,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Chennai,Senior Manager Indirect Purchase,21
060923501313?src=jobsearchDesk&sid=16941696386228443&xp=2&px=2,5247,Bangalore,Senior Manager Indirect Purchase,21
060923501312,5247,Kolkata,Senior Manager SCM,22
060923501312,5247,Mumbai,Senior Manager SCM,22
060923501312,5247,New Delhi,Senior Manager SCM,22
060923501312,5247,Hyderabad,Senior Manager SCM,22
060923501312,5247,Pune,Senior Manager SCM,22
060923501312,5247,Chennai,Senior Manager SCM,22
060923501312,5247,Bangalore,Senior Manager SCM,22
060923501311,5247,Kolkata,Senior Manager (L5) -Service Purchase,23
060923501311,5247,Mumbai,Senior Manager (L5) -Service Purchase,23
060923501311,5247,New Delhi,Senior Manager (L5) -Service Purchase,23
060923501311,5247,Hyderabad,Senior Manager (L5) -Service Purchase,23
060923501311,5247,Pune,Senior Manager (L5) -Service Purchase,23
060923501311,5247,Chennai,Senior Manager (L5) -Service Purchase,23
